source,line,symbol,phase_hint,family,task,file_sha256
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_AVolume.cpp,33,Bind_AVolume,ExplicitBindings,EngineGameplay,5.5,2812d7e6eba43011b1e00bbec3b986c39d33839f5fd9a001db46ee068564ad1a
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintEvent.cpp,586,Bind_BlueprintEvents,ExplicitBindings,ObjectsReflection,5.4,bd481640b7e61bf1307e1e402f908fa7f0afd35cd640397e82fff9c5100a955f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,1068,Bind_BlueprintType_ReflectionBindings,ReflectionBindings,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,1491,Bind_BlueprintType_ReflectionBindings,ReflectionBindings,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,2659,Bind_BlueprintType_ReferenceClassDeclarations,TypeDeclarations,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,2697,Bind_BlueprintType_StaticClasses,ExplicitBindings,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,2739,Bind_BlueprintType_ReferenceClassDeclarations,TypeDeclarations,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,2769,Bind_BlueprintType_StaticClasses,ExplicitBindings,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,2790,Bind_TObjectPtr_TypeDeclarations,TypeDeclarations,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,2805,Bind_TSubclassOf_TypeDeclarations,TypeDeclarations,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,2820,Bind_TWeakObjectPtr_TypeDeclarations,TypeDeclarations,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,2835,Bind_TObjectPtr_MethodSurface,TypeInfrastructure,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,2876,Bind_TSubclassOf_MethodSurface,TypeInfrastructure,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_BlueprintType.cpp,2936,Bind_TWeakObjectPtr_MethodSurface,TypeInfrastructure,ObjectsReflection,5.4,b7158361627cc80de51fd6b15ec5748c8964dfc4d062bf17ac6d08e139dac09f
